嗚呼,ああ,Ah!
相,あい,together
相変わらず,あいかわらず,as ever
愛想,あいそ,civility
相対,あいたい,confrontation
間柄,あいだがら,relation
愛憎,あいにく,likes and dislikes
合間,あいま,interval
曖昧,あいまい,vague
敢えて,あえて,dare 
仰ぐ,あおぐ,to look up 
垢,あか,dirt
亜科,あか,suborder
銅,あかがね,copper
証,あかし,proof
赤字,あかじ,deficit
明かす,あかす,to pass
赤ちゃん,あかちゃん,baby
明白,あからさま,obvious
赤らむ,あからむ,to become red
明るい,あかるい,bright
上がり,あがり,1. slope
上がる,あがる,to enter
商人,あきうど,trader
空間,あきま,vacancy
諦め,あきらめ,resignation
呆れる,あきれる,to be amazed
悪,あく,evil
灰,あく,puckery juice
あくどい,あくどい,1. gaudy
悪日,あくび,unlucky day
明くる,あくる,next
憧れ,あこがれ,yearning
顎,あご,chin
麻,あさ,flax
明後日,あさって,day after tomorrow
朝寝坊,あさねぼう,oversleeping
浅ましい,あさましい,wretched
字,あざ,section of village
欺く,あざむく,to deceive
鮮やか,あざやか,vivid
あざ笑う,あざわらう,to sneer at
味わい,あじわい,flavour
東,あずま,east
焦る,あせる,to be in a hurry
彼処,あそこ,1. 
値,あたい,value
値する,あたいする,to be worth
私,あたし,I 
当たり,あたり,hit
当たり前,あたりまえ,usual
他人,あだびと,another person
彼方此方,あちこち,here and there
彼方,あちら,1. there
彼方此方,あちらこちら,here and there
悪化,あっか,deterioration
呆気ない,あっけない,not enough
悪口,あっこう,abuse
あっさり,あっさり,easily
圧迫,あっぱく,pressure
扱い,あつかい,treatment
集まる,あつまる,to gather
誂える,あつらえる,to give an order
圧力,あつりょく,stress
当て,あて,object
宛,あて,addressed to
当て字,あてじ,phonetic-equivalent character
当てはまる,あてはまる,to apply 
当てはめる,あてはめる,to apply
宛てる,あてる,to address
跡継ぎ,あとつぎ,heir
後回し,あとまわし,putting off
貴女,あなた,you
彼の,あの,that over there
溢れる,あふれる,to flood
油絵,あぶらえ,oil painting
炙る,あぶる,to scorch
あべこべ,あべこべ,contrary
甘える,あまえる,to behave like a spoiled child
甘口,あまくち,sweet flavour
雨具,あまぐ,rain gear
天,あまつ,heavenly
網,あみ,net
天地,あめつち,heaven and earth
操る,あやつる,to manipulate
あやふや,あやふや,uncertain
危ぶむ,あやぶむ,to fear
過ち,あやまち,fault
誤る,あやまる,to make a mistake
歩み,あゆみ,walking
歩む,あゆむ,to walk
あら,あら,oh
予め,あらかじめ,beforehand
荒らす,あらす,to lay waste
粗筋,あらすじ,outline
争い,あらそい,dispute
改まる,あらたまる,to be renewed
荒っぽい,あらっぽい,rough
凡ゆる,あらゆる,all
あられ,あられ,kind of cookie
現われ,あらわれ,embodiment
現われる,あらわれる,to appear
有難う,ありがとう,Thank you
有様,ありさま,state
有りのまま,ありのまま,the truth
或る,ある,a certain...
或いは,あるいは,or
彼此,あれこれ,one thing or another
合わす,あわす,to join together
合わせ,あわせ,joint together
慌ただしい,あわただしい,busy
慌てる,あわてる,to become confused 
暗殺,あんさつ,assassination
暗算,あんざん,mental arithmetic
暗示,あんじ,hint
案じる,あんじる,to be anxious
安静,あんせい,rest
案の定,あんのじょう,sure enough
余り,あんまり,not very 
依,い,depending on
良い,いい,good
伊井,いい,that one
否,いいえ,no
いい加減,いいかげん,moderate
言い訳,いいわけ,excuse
家出,いえで,running away from home
家主,いえぬし,landlord
如何,いかが,how
生かす,いかす,to revive
雷,いかずち,thunder
如何に,いかに,how?
如何にも,いかにも,indeed
怒り,いかり,anger
怒る,いかる,to get angry
歪む,いがむ,to warp
粋,いき,chic
域外,いきがい,outside the area
意気込む,いきごむ,to be enthusiastic about
経緯,いきさつ,1. details
行き違い,いきちがい,misunderstanding
行き成り,いきなり,suddenly
異議,いぎ,objection
いく,いく,to come
軍,いくさ,war
戦,いくさ,war
育成,いくせい,rearing
幾多,いくた,many
活ける,いける,to arrange 
異見,いけん,different opinion
意向,いこう,intention
移行,いこう,switching over to
いざ,いざ,now
碑,いしぶみ,stone monument bearing an inscription
衣装,いしょう,clothing
意地,いじ,disposition
苛める,いじめる,to tease
移住,いじゅう,migration
弄る,いじる,to touch
何れ,いずれ,where
異性,いせい,the opposite sex
遺跡,いせき,historic ruins 
依然,いぜん,still
依存,いそん,dependence
委託,いたく,consign 
悪戯,いたずら,tease
戴きます,いただきます,expression of gratitude before meals
至って,いたって,very much
痛む,いたむ,to hurt
痛める,いためる,to hurt
炒める,いためる,to stir-fry
労る,いたわる,to pity
市,いち,market
位地,いち,place
一々,いちいち,one by one
一概に,いちがいに,unconditionally
一見,いちげん,unfamiliar
一言,いちげん,single word
一日,いちじつ,1. one day
一定,いちじょう,fixed
著しい,いちじるしい,remarkable
一同,いちどう,all present
一人,いちにん,one person
一部,いちぶ,1. one copy e.g. of a document
一部分,いちぶぶん,a part
一別,いちべつ,parting
一面,いちめん,one side
一目,いちもく,a glance
一様,いちよう,uniformity
一律,いちりつ,evenness
一連,いちれん,a series
一括,いっかつ,all together
一気,いっき,drink!
一挙に,いっきょに,at a stroke
一切,いっさい,all
一心,いっしん,one mind
いっそ,いっそ,rather
一帯,いったい,a region
一敗,いっぱい,one defeat
一変,いっぺん,complete change
何時,いつ,when
何時か,いつか,sometime
何時の間にか,いつのまにか,before one knows
何時までも,いつまでも,forever
何時も,いつも,always
意図,いと,intention
営む,いとなむ,to carry on 
暇,いとま,free time
異動,いどう,a change
挑む,いどむ,to challenge
古,いにしえ,antiquity
祈り,いのり,prayer
鼾,いびき,snoring
今更,いまさら,now
未だ,いまだ,as yet
移民,いみん,emigration
厭々,いやいや,unwillingly
卑しい,いやしい,greedy
いやに,いやに,awfully
厭やらしい,いやらしい,detestable
愈々,いよいよ,more and more
意欲,いよく,will
苛々,いらいら,getting nervous
入口,いりくち,entrance
衣料,いりょう,clothing
威力,いりょく,power
入る,いる,to get in
衣類,いるい,clothes
色々,いろいろ,various
異論,いろん,different opinion
所謂,いわゆる,the so-called
印,いん,seal
員,いん,member
印鑑,いんかん,stamp
陰気,いんき,gloom
隠居,いんきょ,retirement
上下,うえした,high and low
浮かぶ,うかぶ,to float
受かる,うかる,to pass 
含嗽,うがい,gargle
