あ,あ,Ah
ああ,ああ,like that
あいさつ・する,あいさつ゛する,to greet
間,あいだ,a space
合う,あう,to match
あかちゃん,あかちゃん,infant
上る,あがる,to rise
赤ん坊,あかんぼう,baby
空く,あく,to open
アクセサリー,あくせさりー,accessory
あげる,あげる,to give
浅い,あさい,shallow
味,あじ,flavour
アジア,あじあ,Asia
明日,あす,tomorrow
遊び,あそび,play
集る,あつまる,to gather
集める,あつめる,to collect something
アナウンサー,あなうんさー,announcer
アフリカ,あふりか,Africa
アメリカ,あめりか,America
謝る,あやまる,to apologize
アルコール,あるこーる,alcohol
アルバイト,あるばいと,part-time job
安心,あんしん,relief
安全,あんぜん,safety
あんな,あんな,such
案内,あんない゛する,to guide
以下,いか,less than
以外,いがい,with the exception of
医学,いがく,medical science
生きる,いきる,to live
意見,いけん,opinion
石,いし,stone
いじめる,いじめる,to tease
以上,いじょう,more than
急ぐ,いそぐ,to hurry
一度,いちど,once
一生懸命,いっしょうけんめい,with utmost effort
いっぱい,いっぱい,full
糸,いと,thread
以内,いない,within
田舎,いなか,countryside
祈る,いのる,to pray
植える,うえる,to plant
うかがう,うかがう,to visit
受付,うけつけ,receipt
受ける,うける,to take a lesson or test
動く,うごく,to move
うそ,うそ,a lie
うち,うち,within
打つ,うつ,to hit
美しい,うつくしい,beautiful
写す,うつす,to copy or photograph
移る,うつる,to move house or transfer
腕,うで,arm
うまい,うまい,delicious
裏,うら,reverse side
売り場,うりば,place where things are sold
うれしい,うれしい,glad
運転,うんてん゛する,to drive
運転手,うんてんしゅ,driver
運動,うんどう゛する,to exercise
エスカレーター,えすかれーたー,escalator
枝,えだ,branch
選ぶ,えらぶ,to choose
遠慮,えんりょ゛する,to be reserved
お祝い,おいわい,congratulation
オートバイ,おーとばい,motorcycle
おかげ,おかげ,owing to
おかしい,おかしい,strange or funny
億,おく,one hundred million
屋上,おくじょう,rooftop
贈り物,おくりもの,gift
送る,おくる,to send
遅れる,おくれる,to be late
起す,おこす,to wake
行う,おこなう,to do
怒る,おこる,to get angry
押し入れ,おしいれ,closet
お嬢さん,おじょうさん,young lady
落る,おちる,to fall or drop
夫,おっと,husband
おつり,おつり,change from purchase
音,おと,sound
落す,おとす,to drop
踊り,おどり,a dance
踊る,おどる,to dance
驚く,おどろく,to be surprised
お祭り,おまつり,festival
お見舞い,おみまい,calling on someone who is ill
お土産,おみやげ,souvenir
思い出す,おもいだす,to remember
思う,おもう,to think
おもちゃ,おもちゃ,toy
表,おもて,the front
親,おや,parents
下りる,おりる,to get off
折る,おる,to break or to fold
お礼,おれい,expression of gratitude
折れる,おれる,to break or be folded
終わり,おわり,the end
カーテン,かーてん,curtain
海岸,かいがん,coast
会議,かいぎ,meeting
会議室,かいぎしつ,meeting room
会場,かいじょう,assembly hall or meeting place
会話,かいわ,conversation
帰り,かえり,return
変える,かえる,to change
科学,かがく,science
鏡,かがみ,mirror
掛ける,かける,to hang something
飾る,かざる,to decorate
火事,かじ,fire
ガス,がす,petrol
ガソリン,がそりん,petrol
ガソリンスタンド,がそりんすたんど,petrol station
堅,かたい,hard
形,かたち,shape
片付ける,かたづける,to tidy up
課長,かちょう,section manager
勝つ,かつ,to win
かっこう,かっこう,appearance
家内,かない,housewife
悲しい,かなしい,sad
必ず,かならず,certainly
お・金持ち,かねもち,rich man
彼女,かのじょ,she
壁,かべ,wall
かまう,かまう,to mind
髪,かみ,hair
噛む,かむ,to bite
通う,かよう,to commute
ガラス,がらす,a glass pane
彼,かれ,he
彼ら,かれら,they
乾く,かわく,to get dry
代わり,かわり,substitute
変わる,かわる,to change
考える,かんがえる,to consider
関係,かんけい,relationship
看護婦,かんごふ,female nurse
簡単,かんたん,simple
気,き,spirit
機会,きかい,opportunity
危険,きけん,danger
聞こえる,きこえる,to be heard
汽車,きしゃ,steam train
技術,ぎじゅつ,art
季節,きせつ,season
規則,きそく,regulations
きっと,きっと,surely
絹,きぬ,silk
厳しい,きびしい,strict
気分,きぶん,mood
決る,きまる,to be decided
決める,きめる,to decide
気持ち,きもち,feeling
着物,きもの,kimono
客,きゃく,guest
急,きゅう,urgent
急行,きゅうこう,speedy
教育,きょういく,education
教会,きょうかい,church
競争,きょうそう,competition
興味,きょうみ,an interest
近所,きんじょ,neighbourhood
具合,ぐあい,condition
空気,くうき,air
空港,くうこう,airport
草,くさ,grass
首,くび,neck
雲,くも,cloud
比べる,くらべる,to compare
くれる,くれる,to give
暮れる,くれる,to get dark
君,くん,suffix for familiar young male
毛,け,hair or fur
